"param_device";"af_event_name";"af_event_guid";"not_verified";"not_param_verified";"af_event_time";"ga_event_time";"af_common_values";"ga_common_values";"device";"af_events";"ga_events";"d.not_verified";"not_device_verified"
"00612c9ef21c521cff7d35b3591a1e45";level_step;b88a7c9c-cd82-4408-bdf1-df55a3ba0136;1;1;2021-02-09 20:17:55;1970-01-01 03:00:00;"[Ljava.lang.String;@26d924b";"[Ljava.lang.String;@7e27de8e";"00612c9ef21c521cff7d35b3591a1e45";"[Ljava.lang.String;@3fe46357";"[Ljava.lang.String;@388b8182";0;1
"00612c9ef21c521cff7d35b3591a1e45";level_step;c2b3e13d-fcf6-4b70-9f63-1c759ba37c32;1;1;2021-02-09 20:18:02;1970-01-01 03:00:00;"[Ljava.lang.String;@561aa312";"[Ljava.lang.String;@1609c4f1";"00612c9ef21c521cff7d35b3591a1e45";"[Ljava.lang.String;@aebe3bc";"[Ljava.lang.String;@6e88f4f2";0;1
"00612c9ef21c521cff7d35b3591a1e45";level_step;f961aa40-6378-45b4-9667-f28622ec788f;1;1;2021-02-09 20:18:04;1970-01-01 03:00:00;"[Ljava.lang.String;@6d89d802";"[Ljava.lang.String;@35ffa70e";"00612c9ef21c521cff7d35b3591a1e45";"[Ljava.lang.String;@605c440e";"[Ljava.lang.String;@49da1393";0;1
"00612c9ef21c521cff7d35b3591a1e45";level_step;"545545c6-76d6-4825-b455-127bc7491708";1;1;2021-02-09 20:18:08;1970-01-01 03:00:00;"[Ljava.lang.String;@6a309b62";"[Ljava.lang.String;@22bf96fd";"00612c9ef21c521cff7d35b3591a1e45";"[Ljava.lang.String;@20c1ca90";"[Ljava.lang.String;@391e1390";0;1
"00612c9ef21c521cff7d35b3591a1e45";quest_complete;a6d22a29-f7ae-4e8f-8b0d-fae895d7e4fb;1;1;2021-02-09 20:18:15;1970-01-01 03:00:00;"[Ljava.lang.String;@579b745a";"[Ljava.lang.String;@9cd082a";"00612c9ef21c521cff7d35b3591a1e45";"[Ljava.lang.String;@27f6d6c9";"[Ljava.lang.String;@6ebdd334";0;1
"00612c9ef21c521cff7d35b3591a1e45";hard_get;"0b552363-e7ca-44af-9276-13ec9310c4a1";1;1;2021-02-09 20:18:15;1970-01-01 03:00:00;"[Ljava.lang.String;@6208431d";"[Ljava.lang.String;@3e58b2e";"00612c9ef21c521cff7d35b3591a1e45";"[Ljava.lang.String;@12b44505";"[Ljava.lang.String;@12100014";0;1
"00612c9ef21c521cff7d35b3591a1e45";tech_download_start;"0b762c86-717f-4682-ac93-78b6401f6e17";1;1;2021-02-09 20:18:15;1970-01-01 03:00:00;"[Ljava.lang.String;@32a0b9e0";"[Ljava.lang.String;@1db3e861";"00612c9ef21c521cff7d35b3591a1e45";"[Ljava.lang.String;@2d1f1abf";"[Ljava.lang.String;@3f9dafa8";0;1
"00612c9ef21c521cff7d35b3591a1e45";balance_get;"51a7ca70-d969-487d-aff7-382bd72abc71";1;1;2021-02-09 20:18:15;1970-01-01 03:00:00;"[Ljava.lang.String;@8456e02";"[Ljava.lang.String;@a377f8b";"00612c9ef21c521cff7d35b3591a1e45";"[Ljava.lang.String;@5f284690";"[Ljava.lang.String;@d9a4232";0;1
"00612c9ef21c521cff7d35b3591a1e45";tech_download_start;dc0c5659-3400-4ccd-8f0f-7da2e04a361e;1;1;2021-02-09 20:18:15;1970-01-01 03:00:00;"[Ljava.lang.String;@2e8c08fd";"[Ljava.lang.String;@1f76e180";"00612c9ef21c521cff7d35b3591a1e45";"[Ljava.lang.String;@2773838";"[Ljava.lang.String;@5d236196";0;1
"00612c9ef21c521cff7d35b3591a1e45";balance_get;"1a51aaf3-2ad9-478d-be2a-1aad2011db83";1;1;2021-02-09 20:18:22;1970-01-01 03:00:00;"[Ljava.lang.String;@13a6512f";"[Ljava.lang.String;@3b74d83a";"00612c9ef21c521cff7d35b3591a1e45";"[Ljava.lang.String;@799194";"[Ljava.lang.String;@46907fdc";0;1
"00612c9ef21c521cff7d35b3591a1e45";level_finish;"5c1d8dd6-22c4-4690-b681-c4b5c2a55f44";1;1;2021-02-09 20:18:23;1970-01-01 03:00:00;"[Ljava.lang.String;@671e7108";"[Ljava.lang.String;@7a36d0d9";"00612c9ef21c521cff7d35b3591a1e45";"[Ljava.lang.String;@368f1b3a";"[Ljava.lang.String;@7324eca8";0;1
"00612c9ef21c521cff7d35b3591a1e45";tech_download_fail;b8fd00bd-cdd0-4582-9565-2612874ad7dd;1;1;2021-02-09 20:18:25;1970-01-01 03:00:00;"[Ljava.lang.String;@67a655f5";"[Ljava.lang.String;@2bdae1c0";"00612c9ef21c521cff7d35b3591a1e45";"[Ljava.lang.String;@65c2794a";"[Ljava.lang.String;@315798f6";0;1
"00612c9ef21c521cff7d35b3591a1e45";map_open;fb454a58-e8db-462f-a79a-c06aa7b49db6;1;1;2021-02-09 20:18:25;1970-01-01 03:00:00;"[Ljava.lang.String;@648b7ad4";"[Ljava.lang.String;@18a34364";"00612c9ef21c521cff7d35b3591a1e45";"[Ljava.lang.String;@6edd7113";"[Ljava.lang.String;@6340d416";0;1
"00612c9ef21c521cff7d35b3591a1e45";tech_download_start;"34914e56-d0de-48cc-8826-5b3437af1e2f";1;1;2021-02-09 20:18:25;1970-01-01 03:00:00;"[Ljava.lang.String;@5c224f70";"[Ljava.lang.String;@5e188ff3";"00612c9ef21c521cff7d35b3591a1e45";"[Ljava.lang.String;@5b4838ca";"[Ljava.lang.String;@3e4db7d1";0;1
"00612c9ef21c521cff7d35b3591a1e45";loading_scene;"068f885d-8336-4482-bd87-c4b729b96cbb";1;1;2021-02-09 20:18:26;1970-01-01 03:00:00;"[Ljava.lang.String;@70da36a7";"[Ljava.lang.String;@6a274858";"00612c9ef21c521cff7d35b3591a1e45";"[Ljava.lang.String;@70b3b3be";"[Ljava.lang.String;@23936146";0;1
"023d379d194d924dc7e52e7a57f7ee52";session_start;"9a7693b2-ac52-4a35-9324-8f68bd933dca";1;1;2021-02-09 16:35:03;1970-01-01 03:00:00;"[Ljava.lang.String;@25d049d";"[Ljava.lang.String;@52e8f906";"023d379d194d924dc7e52e7a57f7ee52";"[Ljava.lang.String;@3fab9ea6";"[Ljava.lang.String;@78a5144";0;1
